case,path,classification,digest_basis,common_sha256,reference_sha256,candidate_sha256
RuurloGrass,ammonium.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,f991b13a7a4e73ac3404ba0bd6c3b0c989d105d5b17450d33a79c8ef2d879906,,
RuurloGrass,ani_nGP.Bal,EQUAL_RAW,RAW_BYTES,985717136e416c7f7a9a4ba0e1aadd98cc9c0ad7e9d89490a66fca6724192d08,,
RuurloGrass,ani_nRP.Bal,EQUAL_RAW,RAW_BYTES,5fa7e0696ef6a18a52ff3e0d9c01d6724ed5401c164c4374964544eb56700033,,
RuurloGrass,ani_nTP.Bal,EQUAL_RAW,RAW_BYTES,659d57a551974e48dfadc64b749926a251805c0dffc009113fbb66843e2dc8d4,,
RuurloGrass,ani_omGP.Bal,EQUAL_RAW,RAW_BYTES,ae6ede5b862ee3a6125f3f9b4018fbe9b2a1ab15ef5a15ae1bbe4c7531a63c4b,,
RuurloGrass,ani_omRP.Bal,EQUAL_RAW,RAW_BYTES,4daae487ebc274cef7b2c978ef11b97f689313024e15634171748cfae29203cc,,
RuurloGrass,ani_omTP.Bal,EQUAL_RAW,RAW_BYTES,63f934620e3d2896c711bd27337ca331c5e35eb09c45dd62e912151f48ab3939,,
RuurloGrass,ani_waGP.Bal,EQUAL_RAW,RAW_BYTES,2fc234d00937bda25c492a158849919c23422c5155f42bf28fa1a078beaef9bc,,
RuurloGrass,ani_waRP.Bal,EQUAL_RAW,RAW_BYTES,0884edbb495c59c834282fac74f9d8fe929c6b7799cb20eaa7d9e80e39adb843,,
RuurloGrass,ani_waTP.Bal,EQUAL_RAW,RAW_BYTES,21eb0f535660864e8313bc806517508f35b380cece8049f3be4c8675e0b1a7fa,,
RuurloGrass,animointermediate.Out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,bcab1fea611062ea61816192a11c581e9644683d70c950aacb59c6789d1e7604,,
RuurloGrass,avconc_N.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,cacad235481cbc6e48b3abd350a84f9bfd06ceeaf1ae224a881a95c0aa0a0c7d,,
RuurloGrass,banhGP.Out,EQUAL_RAW,RAW_BYTES,6d6f18f771d4fe9001a0414dddf0fa03148ab508e61b99ef9d41a341a301a56d,,
RuurloGrass,banhRP.Out,EQUAL_RAW,RAW_BYTES,0dd23c2fc7fad1cc1078c4cf8dae008289617f1ccd0871a03c1bee3b066889bf,,
RuurloGrass,banhTP.Out,EQUAL_RAW,RAW_BYTES,d311a5492e9852282f3250d68c7ce0f02862f7063aa44596bc5607c558c7f6b1,,
RuurloGrass,baniGP.Out,EQUAL_RAW,RAW_BYTES,e64f5222c3cc62394595a25288f623c6d2af184f551dfa4abd7722c731fd9007,,
RuurloGrass,baniRP.Out,EQUAL_RAW,RAW_BYTES,5a878036751427d90e009572bff1c60465bfaeb1bf6e50af5dc2008237189440,,
RuurloGrass,baniTP.Out,EQUAL_RAW,RAW_BYTES,f724f06925741b95d1657a163017baec1ee9aa34c5f038a878d3c807d566de6e,,
RuurloGrass,banoGP.Out,EQUAL_RAW,RAW_BYTES,60abefee0d4cf15c7533c8829c1f27fcb399b51bd065c015df8819684b74a921,,
RuurloGrass,banoRP.Out,EQUAL_RAW,RAW_BYTES,3d144377d9fc40d775d26253d976e3cdc9dcacd798d70821019202b4cc77021c,,
RuurloGrass,banoTP.Out,EQUAL_RAW,RAW_BYTES,a2f7c0f43ae0e978fbcd788f20ae3d8ccca69e08dc49974cf893972b4ae76cb0,,
RuurloGrass,baomGP.Out,EQUAL_RAW,RAW_BYTES,4f614c29652941867de40c7e2ea982e2aa627d692df1b3188ad2a728586ca038,,
RuurloGrass,baomRP.Out,EQUAL_RAW,RAW_BYTES,2cf39089b73aed769c2201ffb31aaa5c8bae345ef23b0954449d258a8e708083,,
RuurloGrass,baomTP.Out,EQUAL_RAW,RAW_BYTES,0f185b53d0934e21f1d4d9893ee9c7f0c1885b92ba8c077b4532d3546b7d00c0,,
RuurloGrass,bawaGP.Out,EQUAL_RAW,RAW_BYTES,6bd454826cc046fd7670423dcc8915080a5c1e4eae973970ed9fa6f011604af7,,
RuurloGrass,bawaRP.Out,EQUAL_RAW,RAW_BYTES,1a75d34baf30ca532bb69f1f5d5092a9c4c2e39494c1b98a35a05019ebcb4d10,,
RuurloGrass,bawaTP.Out,EQUAL_RAW,RAW_BYTES,07d310a49c092c0ebef6cea6859bfe1c444ec587512a70fbced3a7868b77cd89,,
RuurloGrass,comp-D1-F.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,54fe9321a7d50b9df0d50e07f3c026575e9412be922fd4aba96d520367f1ff0b,,
RuurloGrass,comp-D2-F.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,397d80d65a81d12e1be8355451c6f50239aba8c1f8eef5379924fe9528cc54c4,,
RuurloGrass,comp-D3-F.out,EQUAL_DECLARED_VOLATILE_NORMALIZATION_ONLY,DECLARED_VOLATILE_NORMALIZED_BYTES,34fe2436cc44c4e9f6694d9872d8126c5ef97ca1e26a056016d96ae19787f869,,
